CountryCode,question,"Mean,b","Mean,f","Mean,m"
IS,Satisfaction with accommodation,8.2,8.3,8.1
ME,Satisfaction with accommodation,7.7,7.8,7.7
MK,Satisfaction with accommodation,7.5,7.4,7.6
RS,Satisfaction with accommodation,7.4,7.3,7.6
TR,Satisfaction with accommodation,6.9,6.8,7
XK,Satisfaction with accommodation,6.4,6.2,6.5
AT,Satisfaction with accommodation,8.3,8.2,8.3
BE,Satisfaction with accommodation,7.6,7.6,7.5
BG,Satisfaction with accommodation,6.9,6.9,6.9
CY,Satisfaction with accommodation,8.6,8.8,8.5
CZ,Satisfaction with accommodation,7.5,7.5,7.4
DE,Satisfaction with accommodation,7.7,7.9,7.6
DK,Satisfaction with accommodation,8.4,8.3,8.5
EE,Satisfaction with accommodation,7.2,7.2,7.1
EL,Satisfaction with accommodation,7.1,7.2,6.9
ES,Satisfaction with accommodation,7.9,7.9,7.9
FI,Satisfaction with accommodation,8.3,8.4,8.2
FR,Satisfaction with accommodation,7.6,7.7,7.6
HR,Satisfaction with accommodation,7.8,7.8,7.8
HU,Satisfaction with accommodation,7,7.2,6.8
IE,Satisfaction with accommodation,8.2,8.3,8.2
IT,Satisfaction with accommodation,7.6,7.6,7.6
LT,Satisfaction with accommodation,7,7.1,6.9
LU,Satisfaction with accommodation,8.2,8.1,8.2
LV,Satisfaction with accommodation,6.6,6.6,6.6
MT,Satisfaction with accommodation,8.1,8.2,8.1
NL,Satisfaction with accommodation,7.9,7.9,7.8
PL,Satisfaction with accommodation,6.9,6.9,7
PT,Satisfaction with accommodation,7.4,7.5,7.4
RO,Satisfaction with accommodation,7.8,7.7,8
SE,Satisfaction with accommodation,8.2,8.2,8.1
SI,Satisfaction with accommodation,7.7,7.7,7.7
SK,Satisfaction with accommodation,7.7,7.6,7.8
UK,Satisfaction with accommodation,7.9,7.9,7.9
