CountryCode,question,"Mean,b","Mean,f","Mean,m"
IS,Satisfaction with social life,7.6,7.7,7.5
ME,Satisfaction with social life,7.4,7.3,7.6
MK,Satisfaction with social life,6.8,6.7,7
RS,Satisfaction with social life,7,6.7,7.3
TR,Satisfaction with social life,6.2,6.3,6.2
XK,Satisfaction with social life,6.1,6,6.2
AT,Satisfaction with social life,8.1,8,8.2
BE,Satisfaction with social life,7.5,7.6,7.4
BG,Satisfaction with social life,5.9,5.8,6
CY,Satisfaction with social life,8.1,7.9,8.3
CZ,Satisfaction with social life,6.8,6.6,7.1
DE,Satisfaction with social life,7.5,7.6,7.4
DK,Satisfaction with social life,8.3,8.3,8.2
EE,Satisfaction with social life,6.9,6.8,6.9
EL,Satisfaction with social life,7.1,7,7.2
ES,Satisfaction with social life,7.6,7.5,7.7
FI,Satisfaction with social life,7.8,7.8,7.7
FR,Satisfaction with social life,7.4,7.4,7.5
HR,Satisfaction with social life,6.9,6.6,7.3
HU,Satisfaction with social life,6.8,6.7,6.9
IE,Satisfaction with social life,7.1,7,7.2
IT,Satisfaction with social life,7.3,7.2,7.4
LT,Satisfaction with social life,6.7,6.6,6.7
LU,Satisfaction with social life,7.8,7.8,7.9
LV,Satisfaction with social life,6.5,6.4,6.6
MT,Satisfaction with social life,7.4,7.3,7.5
NL,Satisfaction with social life,7.5,7.5,7.4
PL,Satisfaction with social life,6.6,6.6,6.7
PT,Satisfaction with social life,7.2,7,7.3
RO,Satisfaction with social life,7.4,7.2,7.7
SE,Satisfaction with social life,7.7,7.8,7.6
SI,Satisfaction with social life,7.2,7.1,7.3
SK,Satisfaction with social life,6.8,6.5,7.1
UK,Satisfaction with social life,7,6.9,7.2
