CountryCode,question,"Mean,b","Mean,f","Mean,m"
IS,Trust in the government,4.2,4.5,3.9
ME,Trust in the government,4.1,4.2,3.9
MK,Trust in the government,4.2,4.2,4.2
RS,Trust in the government,3,3.1,2.9
TR,Trust in the government,6.3,6.6,6
XK,Trust in the government,4,3.7,4.2
AT,Trust in the government,4.7,4.6,4.9
BE,Trust in the government,4.5,4.5,4.4
BG,Trust in the government,3.6,3.6,3.5
CY,Trust in the government,3.6,3.7,3.6
CZ,Trust in the government,3.3,3.3,3.2
DE,Trust in the government,4.9,5.1,4.6
DK,Trust in the government,5.7,5.7,5.7
EE,Trust in the government,4.5,4.5,4.4
EL,Trust in the government,2.1,2.1,2
ES,Trust in the government,3.7,3.6,3.7
FI,Trust in the government,6.1,6.2,6.1
FR,Trust in the government,4,4.1,4
HR,Trust in the government,3.3,3.4,3.3
HU,Trust in the government,3.5,3.5,3.5
IE,Trust in the government,3.9,3.7,4.1
IT,Trust in the government,3,2.9,3.1
LT,Trust in the government,3,3,2.9
LU,Trust in the government,6.5,6.5,6.6
LV,Trust in the government,3,3.2,2.8
MT,Trust in the government,4.9,5.1,4.8
NL,Trust in the government,5.4,5.4,5.4
PL,Trust in the government,3.5,3.6,3.3
PT,Trust in the government,3.2,3.3,3.1
RO,Trust in the government,2.5,2.5,2.5
SE,Trust in the government,6,6,6.1
SI,Trust in the government,2.8,3,2.6
SK,Trust in the government,3.2,3.1,3.2
UK,Trust in the government,4.3,4.2,4.5
