CountryCode,question,"Mean,b","Mean,f","Mean,m"
IS,Satisfaction with education,7.3,7.4,8.4
ME,Satisfaction with education,7.5,7.5,6.7
MK,Satisfaction with education,6.6,6.5,6.6
RS,Satisfaction with education,7.2,7,6.3
TR,Satisfaction with education,5.6,5.3,6.6
XK,Satisfaction with education,6.1,5.9,6.2
AT,Satisfaction with education,8,7.7,7.7
BE,Satisfaction with education,7.5,7.6,7.3
BG,Satisfaction with education,6.7,6.6,5.6
CY,Satisfaction with education,7.5,7.6,7.3
CZ,Satisfaction with education,7.3,7.2,6.4
DE,Satisfaction with education,7.5,7.5,7.1
DK,Satisfaction with education,8.1,8,8.4
EE,Satisfaction with education,7,7.2,6.3
EL,Satisfaction with education,6.4,6.1,6.2
ES,Satisfaction with education,7.5,7.4,7.4
FI,Satisfaction with education,7.6,7.7,7.9
FR,Satisfaction with education,7,6.9,7.3
HR,Satisfaction with education,7,6.8,6.8
HU,Satisfaction with education,7,6.9,5.8
IE,Satisfaction with education,7.1,7.4,7.4
IT,Satisfaction with education,6.8,6.7,6.9
LT,Satisfaction with education,7.2,7.1,6.8
LU,Satisfaction with education,7.3,7.1,7.9
LV,Satisfaction with education,7.1,7.2,6.2
MT,Satisfaction with education,6.9,6.9,7.2
NL,Satisfaction with education,7,7,7.6
PL,Satisfaction with education,6.4,6.3,7.1
PT,Satisfaction with education,7.6,7.6,6.8
RO,Satisfaction with education,8.2,8.2,6.9
SE,Satisfaction with education,7.4,7.5,8
SI,Satisfaction with education,6.8,6.9,6.9
SK,Satisfaction with education,7,6.9,6.4
UK,Satisfaction with education,7.2,7.2,7.3
